country;gender;key;2013_up_sec_edu_perc;2014_up_sec_edu_perc;2015_up_sec_edu_perc;2016_up_sec_edu_perc;2017_up_sec_edu_perc;2018_up_sec_edu_perc;2019_up_sec_edu_perc;2020_up_sec_edu_perc;2021_up_sec_edu_perc;2022_up_sec_edu_perc;2023_up_sec_edu_perc;2024_up_sec_edu_perc;2013_pop;2014_pop;2015_pop;2016_pop;2017_pop;2018_pop;2019_pop;2020_pop;2021_pop;2022_pop;2023_pop;2024_pop;2013_up_sec_edu_tot;2014_up_sec_edu_tot;2015_up_sec_edu_tot;2016_up_sec_edu_tot;2017_up_sec_edu_tot;2018_up_sec_edu_tot;2019_up_sec_edu_tot;2020_up_sec_edu_tot;2021_up_sec_edu_tot;2022_up_sec_edu_tot;2023_up_sec_edu_tot;2024_up_sec_edu_tot
Austria;Females;Austria_Females;0.79;0.80;0.81;0.81;0.82;0.82;0.83;0.83;0.84;0.84;0.84;0.85;2352955;2366698;2386710;2412936;2435253;2452018;2465303;2477360;2485369;2489124;2521195;2525931;1849423;1888625;1926075;1949652;1989602;2008203;2038806;2058686;2077768;2085886;2112761;2141989
Austria;Males;Austria_Males;0.87;0.88;0.89;0.88;0.88;0.89;0.88;0.88;0.88;0.88;0.88;0.88;2333065;2351275;2378238;2416210;2441363;2460423;2476454;2491392;2503538;2515750;2538924;2548723;2039099;2069122;2109497;2131097;2155724;2182395;2189185;2197408;2210624;2216376;2239331;2232681
Austria;Total;Austria_Total;0.83;0.84;0.85;0.85;0.85;0.85;0.86;0.86;0.86;0.86;0.86;0.86;4686020;4717973;4764948;4829146;4876616;4912441;4941757;4968752;4988907;5004874;5060119;5074654;3889397;3958379;4031146;4080628;4145124;4190312;4230144;4258220;4285471;4299187;4351702;4374352
Belgium;Females;Belgium_Females;0.74;0.75;0.76;0.76;0.78;0.79;0.80;0.81;0.83;0.83;0.83;0.84;2961029;2966333;2975523;2987985;2996988;3005231;3014218;3021944;3025288;3030490;3057699;3066572;2185239;2215851;2255446;2267881;2328660;2377138;2417403;2456840;2498888;2527429;2547063;2572854
Belgium;Males;Belgium_Males;0.72;0.72;0.74;0.74;0.76;0.77;0.77;0.78;0.80;0.82;0.81;0.82;2987386;2989040;2996105;3012791;3017548;3025146;3034454;3044981;3050323;3056071;3076987;3087363;2141956;2164065;2205133;2238504;2290319;2341463;2342598;2384220;2452460;2490698;2495436;2522376
Belgium;Total;Belgium_Total;0.73;0.74;0.75;0.75;0.77;0.78;0.79;0.80;0.82;0.82;0.82;0.83;5948415;5955373;5971628;6000776;6014536;6030377;6048672;6066925;6075611;6086561;6134686;6153935;4330446;4383155;4460806;4506583;4619164;4715755;4760305;4841406;4951623;5015326;5042712;5095458
BosniaandHerzegovina;Females;BosniaandHerzegovina_Females;;;;;;;;;0.73;0.74;0.75;0.76;;;;;;;;;;;;;;;;;;;;;;;;
BosniaandHerzegovina;Males;BosniaandHerzegovina_Males;;;;;;;;;0.87;0.87;0.87;0.88;;;;;;;;;;;;;;;;;;;;;;;;
BosniaandHerzegovina;Total;BosniaandHerzegovina_Total;;;;;;;;;0.80;0.81;0.81;0.82;;;;;;;;;;;;;;;;;;;;;;;;
Bulgaria;Females;Bulgaria_Females;0.82;0.82;0.83;0.83;0.83;0.83;0.83;0.84;0.84;0.85;0.86;0.87;2011774;1986175;1957701;1925495;1895281;1863280;1828868;1794200;1769696;1731309;1707283;1689472;1649655;1624691;1615103;1594310;1578769;1550249;1517960;1503540;1483005;1462956;1461434;1471530
Bulgaria;Males;Bulgaria_Males;0.82;0.80;0.81;0.82;0.82;0.82;0.82;0.83;0.84;0.84;0.85;0.87;2023338;1999575;1973259;1942768;1913969;1882979;1848880;1813521;1791407;1761364;1737864;1721374;1651044;1607658;1602286;1587241;1575196;1544043;1519779;1503409;1495825;1483068;1475447;1490710
Bulgaria;Total;Bulgaria_Total;0.82;0.81;0.82;0.82;0.83;0.83;0.83;0.83;0.84;0.84;0.85;0.87;4035112;3985750;3930960;3868263;3809250;3746259;3677748;3607721;3561103;3492673;3445147;3410846;3300722;3232443;3219456;3183580;3154059;3094410;3037820;3008839;2980643;2947816;2935265;2964025
Croatia;Females;Croatia_Females;0.79;0.80;0.80;0.80;0.81;0.83;0.83;0.85;0.86;0.87;0.88;0.89;1180351;1172592;1160230;1144926;1129610;1106092;1085458;1065776;1047810;1032123;1022123;1016622;927756;933383;927024;913651;918373;918056;904187;900581;901117;900011;903557;908860
Croatia;Males;Croatia_Males;0.85;0.86;0.86;0.85;0.86;0.87;0.88;0.89;0.89;0.89;0.90;0.91;1166079;1156170;1139686;1119994;1099553;1071015;1053118;1039478;1023585;1013551;1012342;1021063;992333;994306;983549;955355;945616;931783;926744;920978;908943;903074;911108;932231
Croatia;Total;Croatia_Total;0.82;0.83;0.83;0.83;0.84;0.85;0.86;0.87;0.87;0.88;0.89;0.90;2346430;2328762;2299916;2264920;2229163;2177107;2138576;2105254;2071395;2045674;2034465;2037685;1919380;1928215;1908930;1868559;1863580;1848364;1830621;1821045;1810399;1804284;1814743;1840030
Cyprus;Females;Cyprus_Females;0.78;0.78;0.78;0.80;0.81;0.83;0.83;0.84;0.85;0.86;0.87;0.88;249378;248407;248838;250131;252058;255598;259142;260781;266306;272580;277017;279841;194515;193012;194342;200605;204923;212146;216124;218534;227425;235509;241836;245141
Cyprus;Males;Cyprus_Males;0.79;0.78;0.78;0.79;0.81;0.82;0.81;0.82;0.83;0.84;0.85;0.84;227198;226808;227600;229361;231497;235682;240552;246721;249302;252504;260958;268037;179714;175776;177073;180736;187513;192081;195328;202558;207918;212103;221814;225955
